record_id,train_id,log_date,days_since_last_deep_clean,avg_daily_passenger_load,route_type,was_rainy_day,serviced_special_event,actual_dirtiness_score
1,1,2025-08-01,3,15206,COMMERCIAL,False,True,0.5302
2,1,2025-08-02,4,8676,COMMERCIAL,True,False,0.3002
3,1,2025-08-03,5,18872,COMMERCIAL,True,False,0.5885
4,1,2025-08-04,6,11209,COMMERCIAL,True,False,0.4302
5,1,2025-08-05,7,18504,COMMERCIAL,False,False,0.4959
6,1,2025-08-06,8,13591,COMMERCIAL,False,False,0.4064
7,1,2025-08-07,9,12140,COMMERCIAL,True,False,0.5535
8,1,2025-08-08,10,18870,COMMERCIAL,False,False,0.6051
9,1,2025-08-09,11,10295,COMMERCIAL,False,False,0.424
10,1,2025-08-10,12,11788,COMMERCIAL,False,False,0.4947
11,1,2025-08-11,13,18146,COMMERCIAL,False,True,0.937
12,1,2025-08-12,0,14753,COMMERCIAL,True,False,0.3188
13,1,2025-08-13,1,14682,COMMERCIAL,False,False,0.2004
14,1,2025-08-14,2,18995,COMMERCIAL,False,False,0.3415
15,1,2025-08-15,3,9324,COMMERCIAL,False,False,0.1331
16,1,2025-08-16,4,12662,COMMERCIAL,False,False,0.2499
17,1,2025-08-17,5,19146,COMMERCIAL,False,False,0.4453
18,1,2025-08-18,6,12911,COMMERCIAL,True,False,0.4728
19,1,2025-08-19,7,9964,COMMERCIAL,True,False,0.4324
20,1,2025-08-20,8,16581,COMMERCIAL,True,False,0.6312
21,1,2025-08-21,9,9195,COMMERCIAL,True,True,0.7299
22,1,2025-08-22,0,18400,COMMERCIAL,False,False,0.26
23,1,2025-08-23,1,13915,COMMERCIAL,True,False,0.3312
24,1,2025-08-24,2,12921,COMMERCIAL,False,False,0.1897
25,1,2025-08-25,3,16649,COMMERCIAL,False,False,0.3162
26,1,2025-08-26,4,12437,COMMERCIAL,True,False,0.3943
27,1,2025-08-27,5,15467,COMMERCIAL,False,False,0.3533
28,1,2025-08-28,6,16115,COMMERCIAL,False,False,0.4029
29,1,2025-08-29,7,11668,COMMERCIAL,False,False,0.325
30,1,2025-08-30,8,18492,COMMERCIAL,False,False,0.529
31,1,2025-08-31,9,17614,COMMERCIAL,False,False,0.5403
32,1,2025-09-01,10,19994,COMMERCIAL,False,False,0.6332
33,1,2025-09-02,11,16205,COMMERCIAL,True,False,0.7218
34,1,2025-09-03,0,13057,COMMERCIAL,False,False,0.1264
35,1,2025-09-04,1,16656,COMMERCIAL,True,True,0.6497
36,1,2025-09-05,2,17565,COMMERCIAL,False,False,0.3058
37,1,2025-09-06,3,12729,COMMERCIAL,False,False,0.2182
38,1,2025-09-07,4,19734,COMMERCIAL,True,False,0.5767
39,1,2025-09-08,5,16920,COMMERCIAL,False,False,0.3897
40,1,2025-09-09,6,10199,COMMERCIAL,False,False,0.255
41,1,2025-09-10,7,15186,COMMERCIAL,False,False,0.413
42,1,2025-09-11,8,19728,COMMERCIAL,True,False,0.7099
43,1,2025-09-12,0,15349,COMMERCIAL,True,False,0.3337
44,1,2025-09-13,1,19078,COMMERCIAL,True,False,0.4603
45,1,2025-09-14,2,14486,COMMERCIAL,True,False,0.3788
46,1,2025-09-15,3,19449,COMMERCIAL,True,False,0.5362
47,1,2025-09-16,4,17731,COMMERCIAL,True,False,0.5266
48,1,2025-09-17,5,9966,COMMERCIAL,False,False,0.2158
49,1,2025-09-18,6,11548,COMMERCIAL,False,False,0.2887
50,1,2025-09-19,7,17804,COMMERCIAL,False,False,0.4784
51,1,2025-09-20,8,19616,COMMERCIAL,False,False,0.5571
52,1,2025-09-21,9,10207,COMMERCIAL,False,False,0.3552
53,1,2025-09-22,10,17402,COMMERCIAL,False,False,0.5684
54,1,2025-09-23,11,12771,COMMERCIAL,True,True,0.8859
55,1,2025-09-24,0,17182,COMMERCIAL,False,False,0.2295
56,1,2025-09-25,1,17034,COMMERCIAL,False,False,0.2592
57,1,2025-09-26,2,8061,COMMERCIAL,False,False,0.0682
58,1,2025-09-27,3,16934,COMMERCIAL,False,False,0.3234
59,1,2025-09-28,4,18563,COMMERCIAL,False,False,0.3974
60,1,2025-09-29,5,18839,COMMERCIAL,True,False,0.5876
61,1,2025-09-30,6,15586,COMMERCIAL,False,False,0.3896
62,1,2025-10-01,7,15231,COMMERCIAL,False,False,0.4141
63,1,2025-10-02,8,9144,COMMERCIAL,True,True,0.6953
64,1,2025-10-03,9,16811,COMMERCIAL,False,False,0.5203
65,1,2025-10-04,10,15657,COMMERCIAL,False,False,0.5248
66,1,2025-10-05,11,16152,COMMERCIAL,True,True,0.9705
67,1,2025-10-06,0,11115,COMMERCIAL,False,True,0.3279
68,1,2025-10-07,1,9687,COMMERCIAL,True,False,0.2255
69,1,2025-10-08,2,16007,COMMERCIAL,True,False,0.4168
70,1,2025-10-09,3,9481,COMMERCIAL,False,False,0.137
71,1,2025-10-10,4,15650,COMMERCIAL,True,True,0.7246
72,1,2025-10-11,0,19184,COMMERCIAL,False,True,0.5296
